#{"t_start": 1765816684.0851827, "env_id": "None"}
r,l,t
0.0,136,2.76573
0.000986,270,4.376675
0.000617,855,8.601911
0.002734,574,11.557489
0.0,161,12.692303
0.005268,951,17.241448
0.002884,564,20.216797
0.0,275,21.858488
0.0,195,23.164252
0.0,176,25.906728
0.000931,328,27.808621
0.0,235,29.33768
0.096172,250,30.884385
0.020293,116,31.922127
0.0,303,33.787289
0.001847,535,36.669515
0.0,217,38.084724
0.0,221,39.501256
0.0,751,43.375544
0.0,875,47.821474
0.008156,299,51.147035
0.0,65,51.893649
0.001388,472,54.553041
0.009549,468,57.129997
0.002228,1001,62.274518
0.01088,62,62.992857
0.0,150,64.163308
0.005739,94,65.062873
0.029878,203,67.898994
0.0,62,68.974716
0.010108,533,72.270866
0.0,582,75.560954
0.003532,420,79.814891
0.0,1001,85.721009
0.009848,96,86.637798
0.000423,209,88.154591
0.0,837,92.596652
0.0,412,95.103266
0.0,354,97.351202
0.0,444,99.970326
0.010579,266,101.766159
0.0,587,106.817053
0.0,241,108.464631
0.000783,213,109.959549
0.009306,1001,115.196228
0.04061,457,117.895894
0.0,341,120.012858
0.003695,554,123.101338
0.002968,374,125.407608
0.013497,93,126.31652
0.013944,124,127.350073
0.0,64,128.120153
0.0,912,134.825366
0.004965,406,137.276433
0.002777,46,137.935008
0.007306,381,140.193562
0.006582,1001,145.475485
0.003572,473,148.167097
0.0,343,150.286612
0.001886,90,151.170878
0.0,343,153.339192
0.000293,131,154.40465
0.010399,100,155.31936
0.0,220,156.780926
0.011726,334,160.493297
0.001647,1001,165.649925
0.0,774,169.887252
0.0,704,173.782724
0.0,375,176.021644
0.01097,176,177.310519
0.001311,165,178.5411
0.0,153,179.731662
0.0,1001,186.460955
0.0,317,188.407965
0.000671,180,189.702121
0.040386,1001,194.976397
0.013352,974,200.117982
0.007573,76,200.933471
0.004404,347,203.048781
0.0,1001,209.905532
0.016721,228,211.44503
0.0,820,215.736723
0.00874,236,217.314674
0.003327,204,218.847074
0.0,146,220.030041
0.004508,140,221.246035
0.007579,592,224.467548
0.017414,504,227.317711
0.010088,504,230.205611
0.004499,497,234.737049
0.0,216,236.265873
0.007294,119,237.29253
0.002665,528,240.289324
0.005189,57,240.982824
0.0,1001,246.247481
0.004726,1001,251.505898
0.011254,1001,256.788868
0.0,256,260.169293
0.0,113,261.15344
0.0,60,261.89824
0.016356,774,266.099923
0.011916,289,267.911964
0.011265,556,270.959734
0.0,87,271.828365
0.0,185,273.189848
0.0,199,274.58073
0.004544,453,277.209555
0.0,95,278.058025
0.009458,674,281.778829
0.004724,631,286.911492
0.0,74,287.71137
0.068383,1001,292.957293
0.00416,186,294.285727
0.012654,148,295.474499
0.0,317,297.472335
0.021932,201,298.889093
0.0,712,302.733345
0.0,102,303.675946
0.000432,176,304.919696
0.0,98,305.83646
0.005386,459,308.479101
0.01001,305,310.46657
0.000248,481,315.22249
0.002435,372,317.626711
0.0,259,319.402533
0.0,56,320.116863
0.0,38,320.767904
0.0,79,321.629824
0.0,75,322.459712
0.0,122,323.499187
0.003678,684,327.328196
0.0,609,330.854152
0.009067,230,332.430867
0.0,139,333.548239
0.008548,183,334.949443
0.004506,587,338.262397
0.00824,815,344.251017
0.004321,192,345.612231
0.014751,49,346.284976
0.0,133,347.401177
0.001203,970,353.988189
0.002088,125,355.268079
0.0,365,357.858715
0.0,412,360.920326
0.0,516,364.525683
0.001328,128,365.793905
0.006604,67,366.697452
0.009589,176,368.221746
0.004214,166,369.48251
0.0,213,370.954511
0.0,353,374.708526
0.002551,747,378.780707
0.006014,282,380.671893
0.002087,516,383.598689
8.3e-05,94,384.477358
0.002919,481,387.169061
0.0,257,388.857374
0.00842,319,390.870372
0.0051,139,391.989027
0.006563,43,392.65637
0.0,51,393.374559
0.0,1001,400.248811
0.004217,128,401.267237
0.000459,271,403.011242
0.0,839,407.443486
0.006361,200,408.886698
0.004622,387,411.242812
0.0,177,412.589459
0.017901,323,414.551275
0.002634,94,415.462979
0.030755,709,419.256184
0.000782,82,420.101298
0.019461,362,422.306674
0.004861,567,427.045935
0.001664,331,429.097398
0.011053,1001,434.449959
0.0,139,435.576713
0.0,487,438.393976
0.012745,212,439.91077
0.0,56,440.598907
0.0,140,441.785744
0.001546,730,445.784767
0.007477,676,449.500759
0.0,153,450.690374
0.00703,88,453.224469
0.008174,152,454.409371
0.001666,168,455.682512
0.013668,225,457.206111
0.0,99,458.114291
0.0,770,462.312447
0.022029,446,464.91833
0.0,819,469.269778
0.0,298,471.15803
0.0,244,472.84942
0.000507,567,476.050966
0.0,356,479.871701
0.006141,539,482.963279
0.002161,372,485.333598
0.006611,960,491.097868
0.0,953,497.16116
0.016063,589,500.689024
0.002371,478,503.816568
0.0,193,507.002911
0.003336,146,508.224554
0.011523,770,512.489115
0.008374,347,514.672326
0.0,354,516.868936
0.0,260,518.573954
0.005102,385,520.988024
0.003033,128,522.086323
0.0,444,524.637573
0.027161,198,526.059347
0.001507,915,531.054086
0.001429,163,534.010167
0.0,62,534.789636
0.0,492,537.694251
0.00566,1001,543.09463
0.0,578,546.366917
0.0,996,551.787562
0.0,877,558.220619
0.0,168,559.484058
0.0,51,560.26947
0.001599,652,563.951303
0.0,148,565.158287
0.013226,70,565.979137
0.004793,108,566.942862
0.0,370,569.169785
0.0,255,570.840594
0.005196,207,572.330053
0.00925,175,573.618276
0.0,301,575.539982
0.011478,1001,580.917952
0.012569,234,582.515171
0.0,53,583.263561
0.0,250,584.985839
0.025617,392,589.038754
0.004792,56,589.749913
0.0,66,590.540044
0.0,246,592.319999
0.004364,36,592.966239
0.0,588,596.315198
0.0,164,597.561533
0.001622,375,599.88602
0.014048,186,601.320234
0.001286,145,602.524535
0.005683,969,608.31792
0.0,1001,615.729633
0.0,182,617.112002
0.001936,772,621.461031
0.003189,160,622.896262
0.012155,686,627.141571
0.0,524,630.406154
0.0,57,631.149454
0.011774,156,632.361743
0.012605,232,633.926896
0.0,473,636.760516
0.0,134,637.913447
0.0,202,639.330811
0.004814,88,640.170348
0.0,34,640.793883
